"","Ag","E1","E2","E3","E4","E5","E6","E7","E8"
"1",1,1,NA,NA,NA,NA,NA,NA,NA
"2",2,2,203,210,NA,NA,NA,NA,NA
"3",3,3,NA,NA,NA,NA,NA,NA,NA
"4",9,9,23,24,2403,NA,NA,NA,NA
"5",10,10,25,26,34,66,6601,6602,43
"6",11,11,NA,NA,NA,NA,NA,NA,NA
"7",19,19,29,30,31,32,33,74,NA
"8",23,23,NA,NA,NA,NA,NA,NA,NA
"9",24,24,NA,NA,NA,NA,NA,NA,NA
"10",25,25,NA,NA,NA,NA,NA,NA,NA
"11",26,26,NA,NA,NA,NA,NA,NA,NA
"12",28,28,68,69,NA,NA,NA,NA,NA
"13",29,29,NA,NA,NA,NA,NA,NA,NA
"14",30,30,NA,NA,NA,NA,NA,NA,NA
"15",31,31,NA,NA,NA,NA,NA,NA,NA
"16",32,32,NA,NA,NA,NA,NA,NA,NA
"17",33,33,NA,NA,NA,NA,NA,NA,NA
"18",34,34,NA,NA,NA,NA,NA,NA,NA
"19",36,36,NA,NA,NA,NA,NA,NA,NA
"20",43,43,NA,NA,NA,NA,NA,NA,NA
"21",66,66,6601,6602,NA,NA,NA,NA,NA
"22",68,68,NA,NA,NA,NA,NA,NA,NA
"23",69,69,NA,NA,NA,NA,NA,NA,NA
"24",74,74,NA,NA,NA,NA,NA,NA,NA
"25",80,80,NA,NA,NA,NA,NA,NA,NA
"26",203,203,NA,NA,NA,NA,NA,NA,NA
"27",210,210,NA,NA,NA,NA,NA,NA,NA
"28",2403,2403,NA,NA,NA,NA,NA,NA,NA
"29",6601,6601,NA,NA,NA,NA,NA,NA,NA
"30",6602,6602,NA,NA,NA,NA,NA,NA,NA
