"","Ag","E1","E2","E3","E4","E5","E6","E7","E8","E9"
"1",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,15,16,NA,NA,NA,NA,NA,NA
"3",3,3,17,18,NA,NA,NA,NA,NA,NA
"4",4,4,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,11,12,NA,NA,NA,NA,NA,NA
"6",6,6,13,14,1403,1404,NA,NA,NA,NA
"7",7,7,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,11,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,12,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,13,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,14,1403,1404,NA,NA,NA,NA,NA,NA
"15",15,15,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,16,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,17,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,18,NA,NA,NA,NA,NA,NA,NA,NA
"19",51,2,15,16,NA,NA,NA,NA,NA,NA
"20",52,3,5,6,11,12,13,14,17,18
"21",53,4,7,9,NA,NA,NA,NA,NA,NA
"22",103,103,NA,NA,NA,NA,NA,NA,NA,NA
"23",1403,1403,NA,NA,NA,NA,NA,NA,NA,NA
"24",1404,1404,NA,NA,NA,NA,NA,NA,NA,NA
